,Unnamed: 0,Volume,Last,Chg,% Chg
0,Artiva Biotherapeutics Inc. (ARTV),140.7K,5.58,2.81,101.26
1,Achieve Life Sciences Inc. (ACHV),107.5K,3.94,0.86,27.92
2,Safe & Green Holdings Corp. (SGBX),53.1K,3.77,0.69,22.4
3,Praxis Precision Medicines Inc. (PRAX),52.6K,178.88,16.17,9.94
4,Ally Financial Inc. (ALLY),52.9K,40.98,2.53,6.58
5,Zions Bancorp N.A. (ZION),85.6K,48.98,2.05,4.36
6,Fifth Third Bancorp (FITB),239.3K,42.1,1.74,4.31
7,BTQ Technologies Corp. (BTQ),95.3K,11.6,0.45,3.99
8,Intuitive Machines Inc. Cl A (LUNR),223.6K,12.3,0.47,3.93
9,New Era Energy & Digital Inc. (NUAI),126.3K,3.25,0.1,3.17
10,Satellogic Inc. (SATL),60.2K,3.0,0.09,2.92
11,Kenvue Inc. (KVUE),58.9K,14.47,0.36,2.55
12,CSX Corp. (CSX),525.8K,36.86,0.88,2.43
13,SEALSQ Corp. (LAES),349.7K,6.51,0.15,2.36
14,Lexeo Therapeutics Inc. (LXEO),58.2K,8.96,0.2,2.22
15,Valley National Bancorp (VLY),116.0K,9.89,0.17,1.75
16,ASE Technology Holding Co. Ltd. ADR (ASX),111.0K,12.78,0.2,1.63
17,Old National Bancorp (ONB),71.2K,19.87,0.27,1.38
18,Datadog Inc. Cl A (DDOG),89.8K,153.23,2.06,1.37
19,Gilead Sciences Inc. (GILD),332.0K,119.09,1.24,1.05
20,Infosys Ltd. ADR (INFY),99.7K,16.23,0.16,1.0
21,Stellantis N.V. (STLA),58.6K,10.32,0.09,0.88
22,Workday Inc. Cl A (WDAY),62.3K,229.42,1.82,0.8
23,PepsiCo Inc. (PEP),340.2K,153.73,1.06,0.69
24,Hycroft Mining Holding Corp. (HYMC),51.1K,8.9,0.06,0.68
25,Huntington Bancshares Inc. (HBAN),512.7K,15.47,0.1,0.65
26,Coca-Cola Co. (KO),57.8K,68.02,0.43,0.64
27,Vodafone Group PLC ADR (VOD),52.0K,11.55,0.07,0.61
28,Ross Stores Inc. (ROST),78.7K,156.12,0.91,0.59
29,Costco Wholesale Corp. (COST),87.7K,931.0,5.38,0.58
30,Monster Beverage Corp. (MNST),251.7K,70.56,0.4,0.56
31,Mondelez International Inc. Cl A (MDLZ),274.5K,61.94,0.34,0.56
32,Kraft Heinz Co. (KHC),233.5K,25.26,0.13,0.52
33,Exelon Corp. (EXC),235.4K,47.6,0.24,0.51
34,Sabra Healthcare REIT Inc. (SBRA),52.7K,17.89,0.09,0.51
35,Baker Hughes Co. (BKR),284.3K,44.86,0.22,0.49
36,Alliant Energy Corp. (LNT),64.1K,67.9,0.29,0.44
